date,total_volume,avg_trade_size,total_net_pnl,avg_pnl,pnl_std,trades_count,win_rate,sentiment
2023-01-05,476.99280999999996,158.99760333333333,0.0,0.0,0.0,3,0.0,fear
2023-05-12,50005.82917,5556.20324111111,-12.501455,-1.3890505555555555,1.921231833498505,9,0.0,neutral
2024-01-01,264239.51261,14679.972922777777,-195.59132699999998,-10.866184833333332,85.0366797040905,18,0.05555555555555555,greed
2024-01-02,2008.1847710000002,334.69746183333336,-0.5020439999999999,-0.08367399999999998,0.03201292644542202,6,0.0,greed
2024-01-03,472974.663145,3452.369803978102,8244.788263,60.180936226277375,111.60981478006502,137,1.0,greed
2024-01-04,339470.500845,4408.707803181818,2424.212044,31.4832732987013,91.98503780373056,77,0.5194805194805194,greed
2024-01-05,87025.4638,6216.104557142857,-30.458908,-2.175636285714286,2.6033698104221186,14,0.0,greed
2024-01-06,12834.623744,513.38494976,87.018313,3.48073252,7.787763046102771,25,0.36,greed
2024-01-07,362670.14177832,5666.72096528625,4640.516283,72.508066921875,207.4305577379251,64,0.390625,greed
2024-01-08,227774.51260871076,3996.044080854575,58.98498099999998,1.0348242280701752,23.40101945105698,57,0.07017543859649122,greed
2024-01-09,12359.663834683,1029.9719862235834,133.107232,11.092269333333334,25.174535192803322,12,0.4166666666666667,extreme greed
2024-01-10,139954.32129,34988.5803225,-48.98401,-12.2460025,7.177229236580436,4,0.0,greed
2024-01-11,260981.03281,11347.00142652174,949.820861,41.296559173913046,149.73909462790056,23,0.2608695652173913,extreme greed
2024-01-12,814711.9570724809,1958.442204501156,40640.98074262,97.69466524668269,338.105770392125,416,0.53125,greed
2024-02-01,121348.72987200001,7138.160580705883,753.64194,44.33187882352941,136.34699884769876,17,0.47058823529411764,greed
2024-02-02,474278.433764,11292.34366104762,364.853837,8.686996119047619,42.68544858768433,42,0.42857142857142855,greed
2024-02-03,63197.542455,2038.6304017741936,231.36972899999995,7.463539645161289,250.73959608730468,31,0.7741935483870968,greed
2024-02-04,239664.47561000002,5845.4750148780495,803.628238,19.60068873170732,76.3323911076547,41,0.2926829268292683,greed
2024-02-06,29464.546476,316.82308038709675,185.114035,1.990473494623656,4.374880519769338,93,0.3655913978494624,greed
2024-02-07,33347.468420000005,1852.6371344444447,2409.794386,133.87746588888888,225.28402423795535,18,0.7222222222222222,greed
2024-02-08,396320.3565008986,6290.799309538073,636.847729,10.108694111111111,43.75384287149884,63,0.2698412698412698,greed
2024-02-09,30000.424769999998,15000.212384999999,-10.500148,-5.250074,1.581710188273439,2,0.0,greed
2024-02-10,99954.34189,24988.5854725,-34.984016999999994,-8.746004249999999,9.744858430653995,4,0.0,greed
2024-02-11,39999.9936,19999.9968,-13.999997,-6.9999985,4.9497467611990515,2,0.0,greed
2024-02-12,585243.4758392512,2167.5684290342638,18341.71649941,67.93228333114814,379.58899425127794,270,0.4074074074074074,greed
2024-03-01,394499.36837399995,5888.050274238805,767.390696,11.453592477611942,49.08885812810948,67,0.417910447761194,extreme greed
2024-03-02,603819.98881,10782.499800178572,113.64683800000003,2.029407821428572,67.88149216554923,56,0.2857142857142857,extreme greed
2024-03-03,390745.677042,4946.147810658228,8363.593348,105.8682702278481,199.77661289563758,79,1.0,extreme greed
2024-03-04,16887.5616,4221.8904,125.12719899999999,31.281799749999998,63.44795657036312,4,0.25,extreme greed
2024-03-05,282682.63886,7852.295523888889,5207.106364,144.64184344444445,276.4680329193799,36,0.4722222222222222,extreme greed
2024-03-06,21466.868433,306.6695490428571,557.430122,7.963287457142857,11.774813915508197,70,0.6285714285714286,extreme greed
2024-03-07,179600.65518,9977.814176666667,1055.7586019999999,58.65325566666666,131.3772971721971,18,0.2222222222222222,extreme greed
2024-03-08,290532.88809492247,7852.240218781689,355.53659400000004,9.609097135135135,76.59489685484228,37,0.02702702702702703,extreme greed
2024-03-10,132935.701832,14770.633536888889,53.848290999999996,5.983143444444444,23.51890952072218,9,0.3333333333333333,extreme greed
2024-03-11,129055.6699,21509.278316666667,-40.404152,-6.734025333333334,6.670210674429487,6,0.0,extreme greed
2024-03-12,1084666.510653,2900.1778359705886,23245.966193289998,62.15498982163101,227.94156061043645,374,0.42780748663101603,extreme greed
2024-04-01,99792.53588000001,19958.507176000003,-92.551772,-18.5103544,33.91898879004858,5,0.0,extreme greed
2024-04-02,203187.53669,5805.358191142857,-2.9029850000000166,-0.08294242857142904,31.370994225843813,35,0.45714285714285713,extreme greed
2024-04-03,1577996.746285,5259.989154283333,27800.335191,92.66778396999999,152.75009273042733,300,0.96,greed
2024-04-04,95987.71009,2999.6159403125,-33.595684999999996,-1.0498651562499999,1.4418016862031564,32,0.0,greed
2024-04-05,58998.751001000004,6555.41677788889,-20.649559,-2.2943954444444445,2.2514846772592696,9,0.0,extreme greed
2024-04-06,24243.41788,457.42297886792454,44.778485,0.8448770754716982,2.354947578490164,53,0.4716981132075472,extreme greed
2024-04-07,430567.99370999995,17222.7197484,-113.02464499999999,-4.5209858,4.939663842295462,25,0.0,extreme greed
2024-04-08,1207744.076719446,9509.795879680678,-123117.903118,-969.432308015748,3626.6285984020396,127,0.023622047244094488,extreme greed
2024-04-09,131480.94938499999,3867.0867466176464,1002.214905,29.476908970588237,462.61609984642746,34,0.14705882352941177,extreme greed
2024-04-10,0.33810461189999996,0.33810461189999996,0.0,0.0,,1,0.0,extreme greed
2024-04-11,451811.99086,12550.333079444445,2641.2762940000002,73.36878594444445,115.34152158997041,36,0.6388888888888888,extreme greed
2024-04-12,769287.6978940717,2411.5601814861184,292719.20860335,917.6150739916927,4089.9498504817498,319,0.46394984326018807,extreme greed
